"group1","group2","p.adj"
"D0","CF",0.752781108419931
"M","CF",0.0704260405094972
"MHP","CF",0.847591778047148
"MLP","CF",6.1017189836681e-05
"NUS","CF",0.0633233267038417
"OKA","CF",0.0471866268070333
"P","CF",0.000491674747089778
"PKM","CF",0.0260093475869489
"RIB","CF",0.896410315578441
"SBM","CF",0.453557573890933
"M","D0",0.0126409538174244
"MHP","D0",0.96358543417367
"MLP","D0",0.000269338504632622
"NUS","D0",0.0172029109410514
"OKA","D0",0.0015362270264231
"P","D0",0.000269338504632622
"PKM","D0",0.000269338504632622
"RIB","D0",0.410040939452704
"SBM","D0",0.867394294996105
"MHP","M",0.0781223420542306
"MLP","M",5.81116093682676e-06
"NUS","M",0.398231462977728
"OKA","M",5.81116093682676e-06
"P","M",5.81116093682676e-06
"PKM","M",5.81116093682676e-06
"RIB","M",2.03390632788937e-05
"SBM","M",0.0781223420542306
"MLP","MHP",2.03390632788937e-05
"NUS","MHP",0.0279386944522779
"OKA","MHP",0.00359420303942735
"P","MHP",5.15256269731973e-05
"PKM","MHP",0.000269338504632622
"RIB","MHP",0.752781108419931
"SBM","MHP",0.830813311066373
"NUS","MLP",5.81116093682676e-06
"OKA","MLP",0.0105440509425823
"P","MLP",0.874641121938175
"PKM","MLP",0.0369481683420302
"RIB","MLP",1.01695316394468e-05
"SBM","MLP",1.62712506231149e-05
"OKA","NUS",1.62712506231149e-05
"P","NUS",5.81116093682676e-06
"PKM","NUS",5.81116093682676e-06
"RIB","NUS",0.00081681678128037
"SBM","NUS",0.0321973182865824
"P","OKA",0.0249089965593701
"PKM","OKA",0.601164722556451
"RIB","OKA",0.00138774993295221
"SBM","OKA",0.00081681678128037
"PKM","P",0.0633233267038417
"RIB","P",2.03390632788937e-05
"SBM","P",2.03390632788937e-05
"RIB","PKM",0.000151413026631764
"SBM","PKM",0.000151413026631764
"SBM","RIB",0.163321732126573
